review_id,product,review_text,sentiment
R0007,전동칫솔,이번에 전동칫솔 관련 리뷰: 가격은 비싸지만 성능은 좋아서 만족합니다.,1
R0047,커피머신,공기청정기 구매했는데 착용감이 편하고 소음이 적고 주변에 추천했습니다.,1
R0079,스니커즈,노트북 구매했는데 만족도가 높고 배터리가 오래가고 주변에 추천했습니다.,1
R0003,전동칫솔,전동칫솔 관련 리뷰: 디자인은 예쁜데 내구성이 약해서 아쉽네요.,0
R0076,향수,무선 이어폰 구매했는데 성능이 아쉽고 사용법이 복잡하고 품질 관리가 필요해 보입니다.,0
R0177,가습기,커피머신 구매했는데 배터리가 오래가고 화면이 선명하고 가격 대비 최고예요.,1
R0167,선풍기,백팩 구매했는데 사용법이 간단하고 착용감이 편하고 정말 만족합니다.,1
R0229,공기청정기,향수 구매했는데 사용법이 간단하고 추천할 만하고 주변에 추천했습니다.,1
R0096,커피머신,커피머신 구매했는데 배터리가 빨리 닳고 추천하기 어렵고 다시는 안 살 것 같아요.,0
R0110,마우스,마우스 구매했는데 향이 너무 강하고 성능이 아쉽고 솔직히 실망했습니다.,0
R0148,선풍기,블렌더 구매했는데 재구매 의사 없고 소음이 크고 다시는 안 살 것 같아요.,0
R0027,선풍기,선물용으로 선풍기 관련 리뷰: 생각보다 좋지는 않아요. 기대를 낮추면 괜찮을 듯.,0
R0066,모니터,백팩 구매했는데 가성비가 별로고 포장이 허술하고 솔직히 실망했습니다.,0
R0021,커피머신,급하게 커피머신 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0067,백팩,샴푸 구매했는데 성능이 훌륭하고 향이 은은하고 기대 이상이라 놀랐습니다.,1
R0120,마우스,책상 스탠드 구매했는데 사용법이 복잡하고 배송이 너무 늦고 솔직히 실망했습니다.,0
R0227,공기청정기,스마트워치 구매했는데 배터리가 오래가고 착용감이 편하고 주변에 추천했습니다.,1
R0147,모니터,의자 구매했는데 사용법이 간단하고 화면이 선명하고 다음에도 또 살 것 같아요.,1
R0184,블렌더,선풍기 구매했는데 만족도가 낮고 화면이 흐릿하고 교환/환불 고민 중입니다.,0
R0218,스니커즈,스니커즈 구매했는데 사용법이 복잡하고 소음이 크고 솔직히 실망했습니다.,0
R0236,선풍기,마우스 구매했는데 만족도가 낮고 성능이 아쉽고 전체적으로 만족스럽지 않아요.,0
R0054,텀블러,전동칫솔 구매했는데 화면이 흐릿하고 품질이 기대 이하고 다시는 안 살 것 같아요.,0
R0209,공기청정기,모니터 구매했는데 재구매 의사 있고 품질이 기대 이상이고 가격 대비 최고예요.,1
R0150,가습기,선풍기 구매했는데 디자인이 촌스럽고 포장이 허술하고 교환/환불 고민 중입니다.,0
R0190,마우스,모니터 구매했는데 가성비가 별로고 디자인이 촌스럽고 품질 관리가 필요해 보입니다.,0
R0091,선풍기,키보드 구매했는데 향이 은은하고 디자인이 예쁘고 정말 만족합니다.,1
R0183,의자,키보드 구매했는데 성능이 훌륭하고 품질이 기대 이상이고 후회 없는 선택이었습니다.,1
R0078,전동칫솔,모니터 구매했는데 품질이 기대 이하고 가성비가 별로고 가격 대비 별로예요.,0
R0090,커피머신,텀블러 구매했는데 추천하기 어렵고 가성비가 별로고 교환/환불 고민 중입니다.,0
R0036,책상 스탠드,급하게 책상 스탠드 관련 리뷰: 생각보다 좋지는 않아요. 기대를 낮추면 괜찮을 듯.,0
R0116,가습기,가습기 구매했는데 배송이 너무 늦고 소음이 크고 다시는 안 살 것 같아요.,0
R0145,의자,스마트워치 구매했는데 착용감이 편하고 배터리가 오래가고 주변에 추천했습니다.,1
R0165,노트북,선풍기 구매했는데 성능이 훌륭하고 디자인이 예쁘고 다음에도 또 살 것 같아요.,1
R0045,의자,무선 이어폰 구매했는데 배터리가 오래가고 향이 은은하고 후회 없는 선택이었습니다.,1
R0072,의자,전동칫솔 구매했는데 포장이 허술하고 배송이 너무 늦고 전체적으로 만족스럽지 않아요.,0
R0028,스킨케어,스킨케어 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0214,백팩,스마트워치 구매했는데 만족도가 낮고 화면이 흐릿하고 교환/환불 고민 중입니다.,0
R0055,모니터,전동칫솔 구매했는데 품질이 기대 이상이고 사용법이 간단하고 주변에 추천했습니다.,1
R0064,모니터,스니커즈 구매했는데 추천하기 어렵고 품질이 기대 이하고 전체적으로 만족스럽지 않아요.,0
R0029,노트북,처음으로 노트북 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0094,블렌더,무선 이어폰 구매했는데 소음이 크고 착용감이 불편하고 교환/환불 고민 중입니다.,0
R0232,텀블러,가습기 구매했는데 소음이 크고 착용감이 불편하고 품질 관리가 필요해 보입니다.,0
R0168,모니터,무선 이어폰 구매했는데 배터리가 빨리 닳고 추천하기 어렵고 솔직히 실망했습니다.,0
R0095,공기청정기,커피머신 구매했는데 향이 은은하고 품질이 기대 이상이고 가격 대비 최고예요.,1
R0100,노트북,텀블러 구매했는데 소음이 크고 성능이 아쉽고 품질 관리가 필요해 보입니다.,0
R0215,가습기,블렌더 구매했는데 성능이 훌륭하고 재구매 의사 있고 기대 이상이라 놀랐습니다.,1
R0103,전동칫솔,백팩 구매했는데 추천할 만하고 배송이 정말 빠르고 정말 만족합니다.,1
R0050,무선 이어폰,스마트워치 구매했는데 디자인이 촌스럽고 재구매 의사 없고 솔직히 실망했습니다.,0
R0052,공기청정기,가습기 구매했는데 배송이 너무 늦고 가성비가 별로고 교환/환불 고민 중입니다.,0
R0017,전동칫솔,처음으로 전동칫솔 관련 리뷰: 디자인은 예쁜데 내구성이 약해서 아쉽네요.,0
R0135,블렌더,스마트워치 구매했는데 디자인이 예쁘고 포장이 깔끔하고 전체적으로 매우 좋아요.,1
R0102,키보드,선풍기 구매했는데 품질이 기대 이하고 배터리가 빨리 닳고 기대했는데 아쉽네요.,0
R0015,노트북,급하게 노트북 관련 리뷰: 최고네요… (라고 말하고 싶지만) 실제로는 별로예요.,0
R0206,전동칫솔,키보드 구매했는데 사용법이 복잡하고 배송이 너무 늦고 솔직히 실망했습니다.,0
R0207,전동칫솔,공기청정기 구매했는데 배터리가 오래가고 품질이 기대 이상이고 후회 없는 선택이었습니다.,1
R0111,마우스,스킨케어 구매했는데 화면이 선명하고 향이 은은하고 기대 이상이라 놀랐습니다.,1
R0016,커피머신,급하게 커피머신 관련 리뷰: 기능은 많은데 사용이 불편해서 손이 안 갑니다.,0
R0200,공기청정기,선풍기 구매했는데 가성비가 별로고 포장이 허술하고 전체적으로 만족스럽지 않아요.,0
R0143,가습기,커피머신 구매했는데 재구매 의사 있고 품질이 기대 이상이고 전체적으로 매우 좋아요.,1
R0025,마우스,선물용으로 마우스 관련 리뷰: 소음이 약간 있지만 성능이 좋아서 감수할 만해요.,1
R0186,책상 스탠드,선풍기 구매했는데 디자인이 촌스럽고 착용감이 불편하고 다시는 안 살 것 같아요.,0
R0185,모니터,의자 구매했는데 성능이 훌륭하고 착용감이 편하고 후회 없는 선택이었습니다.,1
R0159,스마트워치,가습기 구매했는데 재구매 의사 있고 가성비가 좋고 가격 대비 최고예요.,1
R0238,스킨케어,스킨케어 구매했는데 소음이 크고 포장이 허술하고 품질 관리가 필요해 보입니다.,0
R0188,의자,책상 스탠드 구매했는데 만족도가 낮고 소음이 크고 기대했는데 아쉽네요.,0
R0191,선풍기,스킨케어 구매했는데 사용법이 간단하고 향이 은은하고 주변에 추천했습니다.,1
R0137,키보드,무선 이어폰 구매했는데 배송이 정말 빠르고 가성비가 좋고 기대 이상이라 놀랐습니다.,1
R0123,향수,책상 스탠드 구매했는데 가성비가 좋고 사용법이 간단하고 정말 만족합니다.,1
R0203,선풍기,책상 스탠드 구매했는데 화면이 선명하고 추천할 만하고 주변에 추천했습니다.,1
R0118,선풍기,샴푸 구매했는데 소음이 크고 추천하기 어렵고 기대했는데 아쉽네요.,0
R0163,책상 스탠드,책상 스탠드 구매했는데 소음이 적고 배송이 정말 빠르고 정말 만족합니다.,1
R0048,스마트워치,스니커즈 구매했는데 품질이 기대 이하고 디자인이 촌스럽고 품질 관리가 필요해 보입니다.,0
R0046,선풍기,블렌더 구매했는데 화면이 흐릿하고 품질이 기대 이하고 교환/환불 고민 중입니다.,0
R0173,선풍기,샴푸 구매했는데 품질이 기대 이상이고 만족도가 높고 주변에 추천했습니다.,1
R0202,마우스,스니커즈 구매했는데 가성비가 별로고 배터리가 빨리 닳고 기대했는데 아쉽네요.,0
R0042,블렌더,선풍기 구매했는데 추천하기 어렵고 착용감이 불편하고 솔직히 실망했습니다.,0
R0006,블렌더,선물용으로 블렌더 관련 리뷰: 처음엔 별로인 줄 알았는데 쓰다 보니 괜찮네요.,1
R0217,스마트워치,노트북 구매했는데 만족도가 높고 배터리가 오래가고 정말 만족합니다.,1
